#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
670211	4961527	2976	1777030	109231	HHV8GK18_gp81	-	HHV8GK18_gp81	GTF3C2	-	TFIIIC-BETA|TFIIIC110	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670212	4961527	126961	1777030	126025	HHV8GK18_gp81	-	HHV8GK18_gp81	HIST2H3C	-	H3|H3.2|H3/M|H3F2|H3FM|H3FN	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670213	4961527	8359	1777030	113955	HHV8GK18_gp81	-	HHV8GK18_gp81	HIST1H4A	-	H4FA	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670214	4961527	29915	1777030	118959	HHV8GK18_gp81	-	HHV8GK18_gp81	HCFC2	-	HCF-2|HCF2	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670215	4961527	3159	1777030	109402	HHV8GK18_gp81	RP11-513I15.2	HHV8GK18_gp81	HMGA1	-	HMG-R|HMGA1A|HMGIY	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670216	4961527	3190	1777030	109431	HHV8GK18_gp81	RP11-575L7.1	HHV8GK18_gp81	HNRNPK	-	CSBP|HNRPK|TUNP	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670217	4961527	11100	1777030	116281	HHV8GK18_gp81	-	HHV8GK18_gp81	HNRNPUL1	-	E1B-AP5|E1BAP5|HNRPUL1	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670218	4961527	3397	1777030	109623	HHV8GK18_gp81	-	HHV8GK18_gp81	ID1	-	ID|bHLHb24	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670219	4961527	27190	1777030	118065	HHV8GK18_gp81	UNQ516/PRO1031	HHV8GK18_gp81	IL17B	-	IL-17B|IL-20|NIRF|ZCYTO7	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670220	4961527	3664	1777030	109872	HHV8GK18_gp81	-	HHV8GK18_gp81	IRF6	-	LPS|OFC6|PIT|PPS|PPS1|VWS|VWS1	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670221	4961527	10524	1777030	115779	HHV8GK18_gp81	-	HHV8GK18_gp81	KAT5	-	ESA1|HTATIP|HTATIP1|PLIP|TIP|TIP60|ZC2HC5|cPLA2	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670222	4961527	253461	1777030	128969	HHV8GK18_gp81	-	HHV8GK18_gp81	ZBTB38	-	CIBZ|PPP1R171|ZNF921	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670223	4961527	4899	1777030	110955	HHV8GK18_gp81	-	HHV8GK18_gp81	NRF1	-	ALPHA-PAL	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670224	4961527	11051	1777030	116237	HHV8GK18_gp81	-	HHV8GK18_gp81	NUDT21	-	CFIM25|CPSF5	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670225	4961527	56000	1777030	121025	HHV8GK18_gp81	LL0XNC01-221F2.3	HHV8GK18_gp81	NXF3	-	-	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670226	4961527	167826	1777030	127951	HHV8GK18_gp81	RP3-372K1.2	HHV8GK18_gp81	OLIG3	-	Bhlhb7|bHLHe20	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670227	4961527	5094	1777030	111127	HHV8GK18_gp81	-	HHV8GK18_gp81	PCBP2	-	HNRNPE2|HNRPE2|hnRNP-E2	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670228	4961527	5423	1777030	111419	HHV8GK18_gp81	-	HHV8GK18_gp81	POLB	-	-	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670229	4961527	5529	1777030	111521	HHV8GK18_gp81	-	HHV8GK18_gp81	PPP2R5E	-	-	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670230	4961527	5536	1777030	111528	HHV8GK18_gp81	-	HHV8GK18_gp81	PPP5C	-	PP5|PPP5|PPT	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670231	4961527	90780	1777030	124760	HHV8GK18_gp81	PP7910	HHV8GK18_gp81	PYGO2	-	1190004M21Rik	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670232	4961527	5889	1777030	111826	HHV8GK18_gp81	-	HHV8GK18_gp81	RAD51C	-	BROVCA3|FANCO|R51H3|RAD51L2	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670233	4961527	5892	1777030	111829	HHV8GK18_gp81	-	HHV8GK18_gp81	RAD51D	-	BROVCA4|R51H3|RAD51L3|TRAD	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670234	4961527	3516	1777030	109736	HHV8GK18_gp81	-	HHV8GK18_gp81	RBPJ	-	AOS3|CBF1|IGKJRB|IGKJRB1|KBF2|RBP-J|RBPJK|RBPSUH|SUH|csl	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670235	4961527	51308	1777030	119459	HHV8GK18_gp81	-	HHV8GK18_gp81	REEP2	-	C5orf19|SGC32445|SPG72	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670236	4961527	7905	1777030	113637	HHV8GK18_gp81	-	HHV8GK18_gp81	REEP5	-	C5orf18|D5S346|DP1|TB2|YOP1	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670237	4961527	10636	1777030	115880	HHV8GK18_gp81	-	HHV8GK18_gp81	RGS14	-	-	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670238	4961527	51132	1777030	119319	HHV8GK18_gp81	CTD-2530H13.3	HHV8GK18_gp81	RLIM	-	NY-REN-43|RNF12	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670239	4961527	6117	1777030	112037	HHV8GK18_gp81	-	HHV8GK18_gp81	RPA1	-	HSSB|MST075|REPA1|RF-A|RP-A|RPA70	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670240	4961527	6118	1777030	112038	HHV8GK18_gp81	RP4-547C9.3	HHV8GK18_gp81	RPA2	-	REPA2|RP-A p32|RP-A p34|RPA32	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670241	4961527	26135	1777030	117571	HHV8GK18_gp81	CGI-55	HHV8GK18_gp81	SERBP1	-	CHD3IP|HABP4L|PAI-RBP1|PAIRBP1	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670242	4961527	9295	1777030	114709	HHV8GK18_gp81	RP4-677H15.3	HHV8GK18_gp81	SRSF11	-	NET2|SFRS11|dJ677H15.2|p54	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670243	4961527	6601	1777030	112485	HHV8GK18_gp81	-	HHV8GK18_gp81	SMARCC2	-	BAF170|CRACC2|Rsc8	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670244	4961527	27044	1777030	117974	HHV8GK18_gp81	-	HHV8GK18_gp81	SND1	-	TDRD11|p100	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670245	4961527	6625	1777030	112509	HHV8GK18_gp81	-	HHV8GK18_gp81	SNRNP70	-	RNPU1Z|RPU1|SNRP70|Snp1|U1-70K|U170K|U1AP|U1RNP	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670246	4961527	7341	1777030	113188	HHV8GK18_gp81	OK/SW-cl.43	HHV8GK18_gp81	SUMO1	-	DAP1|GMP1|OFC10|PIC1|SENP2|SMT3|SMT3C|SMT3H3|UBL1	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670247	4961527	158931	1777030	127722	HHV8GK18_gp81	GHc-351F8.2	HHV8GK18_gp81	TCEAL6	-	Tceal3|WEX2	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670248	4961527	7013	1777030	112872	HHV8GK18_gp81	-	HHV8GK18_gp81	TERF1	-	PIN2|TRBF1|TRF|TRF1|hTRF1-AS|t-TRF1	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670249	4961527	7022	1777030	112880	HHV8GK18_gp81	RP4-539E24.1	HHV8GK18_gp81	TFAP2C	-	AP2-GAMMA|ERF1|TFAP2G|hAP-2g	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670250	4961527	10499	1777030	115761	HHV8GK18_gp81	-	HHV8GK18_gp81	NCOA2	-	GRIP1|KAT13C|NCoA-2|SRC2|TIF2|bHLHe75	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670251	4961527	11059	1777030	116243	HHV8GK18_gp81	-	HHV8GK18_gp81	WWP1	-	AIP5|Tiul1|hSDRP1	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670252	4961527	7507	1777030	113344	HHV8GK18_gp81	RP11-244N9.4	HHV8GK18_gp81	XPA	-	XP1|XPAC	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670253	4961527	9406	1777030	114802	HHV8GK18_gp81	-	HHV8GK18_gp81	ZRANB2	-	ZIS|ZIS1|ZIS2|ZNF265	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670254	4961527	151871	1777030	127407	HHV8GK18_gp81	-	HHV8GK18_gp81	DPPA2	-	CT100|ECAT15-2|PESCRG1	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670255	4961527	10450	1777030	115714	HHV8GK18_gp81	RP1-118J21.1	HHV8GK18_gp81	PPIE	-	CYP-33|CYP33	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670256	4961527	439936	1777030	136142	HHV8GK18_gp81	-	HHV8GK18_gp81	C5orf17	-	-	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670257	4961527	55246	1777030	120537	HHV8GK18_gp81	-	HHV8GK18_gp81	CCDC25	-	-	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670258	4961527	9904	1777030	115233	HHV8GK18_gp81	-	HHV8GK18_gp81	RBM19	-	-	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670259	4961527	285613	1777030	130157	HHV8GK18_gp81	UNQ9423/PRO34565	HHV8GK18_gp81	RELL2	-	C5orf16	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670260	4961527	22950	1777030	116605	HHV8GK18_gp81	HLC3	HHV8GK18_gp81	SLC4A1AP	-	-	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670261	4961527	153527	1777030	127499	HHV8GK18_gp81	-	HHV8GK18_gp81	ZMAT2	-	Ptg-12|Snu23|hSNU23	Far Western	physical	Shamay M (2012)	22379092	37296	9606	High Throughput	-	-	-	figure 1, table 1. screen on a 4191-human protein array.	-	BIOGRID
670272	3159	4961527	109402	1777030	RP11-513I15.2	HHV8GK18_gp81	HMGA1	HHV8GK18_gp81	HMG-R|HMGA1A|HMGIY	-	Affinity Capture-Western	physical	Shamay M (2012)	22379092	9606	37296	Low Throughput	-	-	-	figure 2A.	-	BIOGRID
670273	3146	4961527	109389	1777030	RP11-550P23.1	HHV8GK18_gp81	HMGB1	HHV8GK18_gp81	HMG1|HMG3|SBP-1	-	Affinity Capture-Western	physical	Shamay M (2012)	22379092	9606	37296	Low Throughput	-	-	-	figure 2A.	-	BIOGRID
670274	7013	4961527	112872	1777030	-	HHV8GK18_gp81	TERF1	HHV8GK18_gp81	PIN2|TRBF1|TRF|TRF1|hTRF1-AS|t-TRF1	-	Affinity Capture-Western	physical	Shamay M (2012)	22379092	9606	37296	Low Throughput	-	-	-	figure 2B.	-	BIOGRID
670275	5536	4961527	111528	1777030	-	HHV8GK18_gp81	PPP5C	HHV8GK18_gp81	PP5|PPP5|PPT	-	Affinity Capture-Western	physical	Shamay M (2012)	22379092	9606	37296	Low Throughput	-	-	-	figure 2B.	-	BIOGRID
670276	4961527	90780	1777030	124760	HHV8GK18_gp81	PP7910	HHV8GK18_gp81	PYGO2	-	1190004M21Rik	Affinity Capture-Western	physical	Shamay M (2012)	22379092	37296	9606	Low Throughput	-	-	-	figure 2C.	-	BIOGRID
670277	4961527	10524	1777030	115779	HHV8GK18_gp81	-	HHV8GK18_gp81	KAT5	-	ESA1|HTATIP|HTATIP1|PLIP|TIP|TIP60|ZC2HC5|cPLA2	Affinity Capture-Western	physical	Shamay M (2012)	22379092	37296	9606	Low Throughput	-	-	-	figure 3A.	-	BIOGRID
670278	10524	4961527	115779	1777030	-	HHV8GK18_gp81	KAT5	HHV8GK18_gp81	ESA1|HTATIP|HTATIP1|PLIP|TIP|TIP60|ZC2HC5|cPLA2	-	Affinity Capture-Western	physical	Shamay M (2012)	22379092	9606	37296	Low Throughput	-	-	-	figure 3D.	-	BIOGRID
670279	4961527	5524	1777030	111516	HHV8GK18_gp81	RP11-247A12.4	HHV8GK18_gp81	PPP2R4	-	PP2A|PR53|PTPA	Affinity Capture-Western	physical	Shamay M (2012)	22379092	37296	9606	Low Throughput	-	-	-	figure 4A.|figure 4B.	-	BIOGRID
670280	4961527	5518	1777030	111510	HHV8GK18_gp81	-	HHV8GK18_gp81	PPP2R1A	-	PP2A-Aalpha|PP2AAALPHA|PR65A	Affinity Capture-Western	physical	Shamay M (2012)	22379092	37296	9606	Low Throughput	-	-	-	figure 4B.	-	BIOGRID
670284	7507	4961527	113344	1777030	RP11-244N9.4	HHV8GK18_gp81	XPA	HHV8GK18_gp81	XP1|XPAC	-	Affinity Capture-Western	physical	Shamay M (2012)	22379092	9606	37296	Low Throughput	-	-	-	figure 5A.	-	BIOGRID
670285	6117	4961527	112037	1777030	-	HHV8GK18_gp81	RPA1	HHV8GK18_gp81	HSSB|MST075|REPA1|RF-A|RP-A|RPA70	-	Affinity Capture-Western	physical	Shamay M (2012)	22379092	9606	37296	Low Throughput	-	-	-	figure 5A.	-	BIOGRID
670286	4961527	6118	1777030	112038	HHV8GK18_gp81	RP4-547C9.3	HHV8GK18_gp81	RPA2	-	REPA2|RP-A p32|RP-A p34|RPA32	Affinity Capture-Western	physical	Shamay M (2012)	22379092	37296	9606	Low Throughput	-	-	-	figure 5B.	-	BIOGRID
670287	4961527	6117	1777030	112037	HHV8GK18_gp81	-	HHV8GK18_gp81	RPA1	-	HSSB|MST075|REPA1|RF-A|RP-A|RPA70	Affinity Capture-Western	physical	Shamay M (2012)	22379092	37296	9606	Low Throughput	-	-	-	figure 5B.	-	BIOGRID
670288	4961527	7013	1777030	112872	HHV8GK18_gp81	-	HHV8GK18_gp81	TERF1	-	PIN2|TRBF1|TRF|TRF1|hTRF1-AS|t-TRF1	Affinity Capture-Western	physical	Shamay M (2012)	22379092	37296	9606	Low Throughput	-	-	-	figure 5B.	-	BIOGRID
672188	4961526	142	1777029	106652	HHV8GK18_gp52	RP11-125A15.2	ORF50	PARP1	-	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	Affinity Capture-Western	physical	Ko YC (2012)	22300411	37296	9606	Low Throughput	-	-	-	figure 5.|figure 6B.	-	BIOGRID
673881	3276	4961527	109512	1777030	-	HHV8GK18_gp81	PRMT1	HHV8GK18_gp81	ANM1|HCP1|HRMT1L2|IR1B4	-	Biochemical Activity	physical	Campbell M (2012)	22179613	9606	37296	Low Throughput	-	Methylation	-	figure 1.|figure 2. R20 on LANA is the methylation site.	-	BIOGRID
673882	3275	4961527	109511	1777030	-	HHV8GK18_gp81	PRMT2	HHV8GK18_gp81	HRMT1L1	-	Biochemical Activity	physical	Campbell M (2012)	22179613	9606	37296	Low Throughput	-	Methylation	-	figure 1.	-	BIOGRID
673883	10196	4961527	115491	1777030	-	HHV8GK18_gp81	PRMT3	HHV8GK18_gp81	HRMT1L3	-	Biochemical Activity	physical	Campbell M (2012)	22179613	9606	37296	Low Throughput	-	Methylation	-	figure 1.	-	BIOGRID
673884	10498	4961527	115760	1777030	-	HHV8GK18_gp81	CARM1	HHV8GK18_gp81	PRMT4	-	Biochemical Activity	physical	Campbell M (2012)	22179613	9606	37296	Low Throughput	-	Methylation	-	figure 1.	-	BIOGRID
673885	10419	4961527	115688	1777030	-	HHV8GK18_gp81	PRMT5	HHV8GK18_gp81	HRMT1L5|IBP72|JBP1|SKB1|SKB1Hs	-	Biochemical Activity	physical	Campbell M (2012)	22179613	9606	37296	Low Throughput	-	Methylation	-	figure 1.	-	BIOGRID
673886	55170	4961527	120469	1777030	-	HHV8GK18_gp81	PRMT6	HHV8GK18_gp81	HRMT1L6	-	Biochemical Activity	physical	Campbell M (2012)	22179613	9606	37296	Low Throughput	-	Methylation	-	figure 1.	-	BIOGRID
673887	54496	4961527	119992	1777030	-	HHV8GK18_gp81	PRMT7	HHV8GK18_gp81	-	-	Biochemical Activity	physical	Campbell M (2012)	22179613	9606	37296	Low Throughput	-	Methylation	-	figure 1.	-	BIOGRID
673888	56341	4961527	121140	1777030	-	HHV8GK18_gp81	PRMT8	HHV8GK18_gp81	HRMT1L3|HRMT1L4	-	Biochemical Activity	physical	Campbell M (2012)	22179613	9606	37296	Low Throughput	-	Methylation	-	figure 1.	-	BIOGRID
673889	3276	4961527	109512	1777030	-	HHV8GK18_gp81	PRMT1	HHV8GK18_gp81	ANM1|HCP1|HRMT1L2|IR1B4	-	Affinity Capture-Western	physical	Campbell M (2012)	22179613	9606	37296	Low Throughput	-	-	-	figure 2F.	-	BIOGRID
682045	6921	4961527	112783	1777030	-	HHV8GK18_gp81	TCEB1	HHV8GK18_gp81	SIII|eloC	-	Affinity Capture-Western	physical	Cai QL (2006)	17069461	9606	37296	Low Throughput	-	-	-	-	-	BIOGRID
